objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
6212,144,103,151.276,106.233
5967,144,98,150.585,98.2012
6000,143,101,151.651,102.51
6458,145,106,148.695,102.616
4814,144,98,151.335,102.019
7235,141,100,152.673,109.516
6978,135,95,149.83,106.153
6531,140,98,146.48,100.073
6579,140,108,151.712,108.232
6876,144,103,151.566,105.346
5560,144,99,153.033,103.884
6754,142,103,153.926,110.933
6194,143,104,149.78,104.315
6379,138,94,149.365,101.12
5529,138,97,150.499,103.992
5546,139,96,150.962,103.118
5884,141,95,149.857,99.9019
5940,144,104,149.74,102.65
6963,138,98,147.78,100.573
5663,144,102,150.667,101.341
5498,143,100,151.019,98.7057
6963,146,112,151.56,106.914
4574,141,95,148.703,96.8018
6401,143,112,151.994,105.679
6423,139,95,151.281,102.731
6137,143,102,147.445,95.0671
4696,143,102,150.348,99.033
4617,141,92,151.659,99.9149
5358,138,92,149.366,101.339
5235,141,96,148.831,98.7618
6375,142,104,149.293,100.496
6108,142,101,152.082,103.316
4351,136,92,149.369,100.457
5005,143,108,151.885,98.5215
5691,142,99,152.917,104.138
6013,143,107,152.597,104.116
5176,142,93,150.897,99.7958
6053,143,99,151.243,101.183
5967,145,102,150.592,100.875
6522,138,101,146.427,101.304
5768,140,96,151.192,101.909
6192,138,102,147.943,103.896
4991,137,94,149.873,97.5706
5000,146,103,153.576,100.548
4663,144,101,150.571,97.4364
4488,145,99,151.779,100.49
6027,142,98,154.112,106.419
6874,142,103,148.37,102.376
6326,138,97,143.847,95.4745
5366,143,102,148.813,101.049
6154,143,102,149.799,96.975
4961,144,102,155.277,106.691
6642,143,103,152.685,106.591
5535,143,99,150.56,102.364
4563,145,97,153.848,102.652
6641,141,102,149.233,102.306
6283,141,100,149.172,104.045
6660,143,109,149.158,103.397
5865,139,102,148.051,99.4765
6887,141,105,150.722,105.882
6150,147,114,151.737,101.735
4493,141,97,151.516,100.881
7188,146,125,149.393,107.646
6854,145,115,152.966,106.222
6077,137,90,148.587,101.687
5946,144,106,150.052,104.894
6523,140,98,151.717,106.712
5999,146,120,152.912,109.77
6361,141,93,150.013,103.55
6018,141,109,145.863,99.2683
5279,143,100,153.652,103.151
5259,138,99,145.563,97.2162
5605,143,102,150.517,99.5596
7090,139,93,149.831,103.801
5089,145,109,153.947,102.11
5966,137,95,148.91,101.472
6134,141,100,152.016,106.999
6624,136,98,147.851,102.215
6554,143,102,152.302,105.479
7182,143,111,153.456,109.708
6483,140,108,147.967,102.551
6193,141,100,150.248,103.967
6562,144,107,151.95,105.624
6862,141,108,150.732,107.536
4378,138,96,147.021,96.2422
5039,142,99,151.123,102.287
7035,142,117,147.786,101.809
6258,146,108,152.61,104.762
6184,145,104,153.886,106.068
5823,144,106,150.926,104.51
6980,139,107,141.149,94.9399
5951,136,89,143.72,95.5105
7049,142,104,151.866,107.21
6175,138,94,144.451,95.1602
6176,142,98,150.923,103.182
5578,143,99,150.834,101.935
4715,139,92,147.465,95.7608
4587,142,101,150.693,100.283
4415,146,106,152.213,104.487
6795,140,103,147.341,104.724
5592,145,106,150.111,101.723
6115,138,101,148.36,100.35
6300,139,94,149.275,100.581
5574,143,97,153.809,104.182
6062,140,90,149.96,101.144
5781,143,95,154.165,103.659
7543,135,95,145.555,103.944
5982,139,98,145.125,93.6316
5850,146,106,153.423,104.044
6614,138,100,144.815,98.4084
7068,139,105,150.973,109.193
5752,144,107,151.693,103.23
5582,143,107,153.179,104.426
5162,135,91,143.489,94.1842
5500,136,98,146.601,98.2963
5917,143,99,150.746,100.574
6083,142,104,149.636,103.417
6045,137,106,147.15,102.025
5481,141,90,149.649,98.3383
4940,137,84,149.535,97.3764
4886,144,96,153.502,100.687
5660,137,94,149.27,102.686
5526,145,108,152.279,105.058
5062,141,98,151.585,103.041
5168,142,96,150.945,101.784
5029,143,108,153.021,104.644
7385,141,107,149.278,105.8
6200,148,109,152.476,104.683
5535,143,104,152.457,103.057
5840,140,89,151.288,100.756
6295,141,103,151.744,104.84
5329,145,109,148.504,100.614
7044,144,114,151.995,106.161
6195,134,90,147.912,102.089
6816,145,113,150.882,106.143
6193,142,100,149.097,100.077
4196,142,96,151.886,98.7978
4739,145,102,152.699,101.14
6948,136,107,146.852,105.764
5306,139,92,149.831,100.536
7703,144,117,148.922,105.381
6728,146,113,149.503,101.111
6149,148,113,152.002,103.785
5041,140,91,152.389,102.944
4961,142,98,153.127,104.401
6195,137,95,146.923,99.8869
6755,142,107,145.691,96.5255
7110,138,95,145.903,99.5425
6188,138,98,149.312,104.42
5618,140,110,151.263,106.985
5447,140,97,151.883,102.37
7017,145,106,150.992,104.765
6694,140,101,150.269,104.358
5136,140,93,151.034,102.627
5543,145,106,152.93,104.653
7020,137,103,147.545,105.115
4634,143,103,152.722,104.25
