objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
-11271,140,76,164.219,80.1381
-9982,148,83,166.816,81.2843
-5383,143,88,162.384,82.3544
-10898,144,80,167.728,79.6486
-15134,142,83,166.846,79.7538
-7967,146,91,166.806,89.3754
-6980,147,92,166.219,85.4645
-9753,147,85,167.455,80.1962
-11840,146,82,169.26,84.8769
-8683,147,86,167.456,85.4114
-3921,146,98,163.091,86.9469
-9071,147,91,170.319,84.042
-6296,145,96,168.759,89.1131
-8070,143,83,161.773,80.7217
-10253,145,89,166.461,86.019
-10323,145,90,168.54,83.8408
-9917,143,85,166.695,83.003
-5831,144,88,165.968,85.3363
-5924,147,97,165.459,86.2252
-5252,143,93,164.383,86.7778
-6058,147,93,166.715,86.0851
-11846,146,80,167.441,81.6867
-2708,138,85,157.303,82.1642
-17695,140,79,163.728,77.5546
-6981,147,88,168.537,86.0651
-1713,144,91,160.012,85.0551
-11649,145,81,168.991,82.4184
-4277,147,93,164.428,86.1662
-7375,142,87,160.347,83.9379
-4818,143,86,164.242,83.7778
-13611,143,82,168.168,83.3924
-6410,145,96,168.659,87.5526
-8145,144,95,157.619,77.5375
-3547,145,91,163.985,89.961
-14163,150,79,173.383,78.4224
-8895,144,78,163.941,81.2823
-6647,146,97,167.109,88.7728
-5972,141,84,163.709,84.1481
-16529,145,78,170.753,82.4014
-14585,148,86,169.293,81.7518
-7089,148,92,169.024,86.5896
-6076,146,88,166.555,84.7457
-18486,148,89,170.148,81.5856
-9545,148,95,169.445,86.6697
-8828,147,91,167.15,84.6466
-9669,141,88,161.617,77.4945
-14292,146,85,169.038,84.2733
-10822,143,78,165.534,79.4875
-8121,144,82,168.187,84.7708
-3697,148,107,165.355,89.7658
-9232,142,81,165.876,83.4595
-10009,145,83,168.251,80.1962
-14642,148,82,170.415,77.3624
-10118,144,79,165.692,80.033
-4729,147,86,166.175,84.994
-12792,148,86,168.71,80.6096
-15383,146,83,166.666,78.4725
-9789,145,96,169.599,89.3914
-11581,145,85,166.721,79.023
-14626,144,79,168.809,80.7538
-4302,143,93,166.865,89.5856
-690,143,86,159.528,79.4725
-1359,144,98,157.256,83.7307
-4008,145,101,165.669,89.7718
-5633,146,86,164.787,83.5075
-7833,143,90,165.357,82.8218
-6749,142,80,165.341,81.1261
-13268,146,87,170.12,82.5355
-16421,144,76,167.498,79.7227
-4722,145,89,166.45,81.2172
-9435,144,82,165.657,82.7968
-6503,144,88,164.835,84.984
-4518,144,88,159.789,79.2563
-9217,140,76,162.05,78.1351
-8436,142,84,160.719,79.8148
-9788,145,85,171.287,88.4214
-10108,143,87,165.242,79.036
-16294,145,77,169.856,82.6527
-14650,147,86,167.718,85.7968
-7222,147,88,167.093,82.6867
-7907,147,79,168.213,85.3564
-4274,146,95,168.001,89.5756
-1636,146,106,165.524,93.4955
-10311,148,75,170.394,81.014
-4654,145,94,161.739,79.4114
-4774,143,87,164.013,86.7307
-13746,145,82,169.705,79.8008
-8224,149,89,167.705,81.6817
-3692,146,91,162.591,86.0651
-5155,148,94,170.472,85.021
-3459,146,94,162.381,83.6557
-8768,146,93,166.636,91.9219
-5972,144,82,165.326,84.1271
-12846,146,87,172.641,85.043
-10175,146,81,169.171,86.2853
-5637,148,87,168.789,89.3413
-13038,145,87,165.793,80.5015
-9998,143,77,166.075,78.5475
-10560,142,79,165.611,81.0751
-13409,149,90,170.397,85.043
-6667,147,91,168.175,87.5676
-8877,143,77,165.571,80.3383
-14461,144,78,166.974,79.1011
-10479,148,95,167.723,86.026
-14322,146,75,171.746,77.951
-7284,147,89,164.976,82.1872
-5981,147,90,166.743,86.1882
-6193,144,88,167.356,87.1481
-13840,144,80,168.302,81.9249
-6184,144,87,165.136,86.7277
-11117,145,78,167.691,77.8448
-11375,149,94,169.639,87.6006
-5700,145,87,165.935,83.7047
-9660,146,100,165.758,84.2943
-4315,145,92,166.944,88.8038
-13768,143,89,165.848,85.0531
-11621,147,88,165.931,82.983
-5450,144,92,163.819,84.5676
-6746,146,93,166.404,87.1021
-10424,142,83,165.964,85.1892
-11056,144,75,167.321,81.7558
-11443,149,81,168.094,80.6847
-5412,147,98,165.578,88.027
-14316,145,86,170.207,86.6126
-5812,146,94,163.943,84.5165
-12125,145,88,166.567,84.1592
-4163,143,76,164.252,77.8599
-11924,147,85,168.79,82.0751
-7423,145,84,168.963,88.1191
-9745,144,84,166.8,84.7518
-10311,147,90,168.741,86.0661
-10376,146,82,169.424,83.3904
-10988,145,79,167.997,81.8498
-9045,138,81,161.817,79.3914
-5627,145,87,162.685,81.041
-3695,142,89,161.737,85.5786
-11434,145,93,165.936,81.1381
-7377,141,88,162.398,86.3884
-11637,145,82,165.129,79.2472
-6957,147,92,163.756,82.008
