objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
16608,153,105,159.127,105.289
17479,155,118,162.87,111.371
18641,154,113,160.627,111.733
17519,150,107,158.119,106.253
17990,149,105,157.356,106.183
17665,151,106,159.105,107.497
16914,152,114,160.266,107.449
18650,147,111,153.607,107.187
17797,146,112,153.255,104.447
17475,152,101,163.07,108.287
17771,150,114,156.455,109.898
16919,154,122,161.405,108.867
16752,154,110,160.132,107.769
17029,154,110,159.65,104.751
16962,154,114,160.738,106.969
17015,151,106,159.757,107.459
17233,154,117,157.885,104.838
17079,153,113,157.151,100.73
17608,152,121,157.663,106.969
18487,153,117,156.178,109.11
17079,152,107,156.607,104.206
17637,155,120,162.606,111.047
18293,154,109,160.036,108.841
17799,150,109,155.853,103.723
17276,154,117,161.873,105.995
16767,153,104,160.171,104.939
17014,152,112,159.389,106.144
18574,151,116,160.1,112.06
15979,151,109,159.101,104.08
17606,151,106,162.355,109.719
18353,150,114,157.741,108.65
18122,151,99,159.881,105.601
18164,154,115,158.716,106.13
18276,153,119,159.548,109.774
16221,154,102,161.61,101.85
17723,152,102,158.65,105.54
18283,154,122,160.035,111.748
17567,151,112,158.632,106.757
17876,154,122,160.783,111.9
17990,150,114,157.016,110.175
17778,150,111,158.411,110.097
17243,149,110,158.704,106.1
17860,151,113,157.645,105.908
17337,154,118,160.674,108.435
17356,153,111,161.202,110.891
18248,153,109,159.683,110.337
18514,154,122,160.677,111.736
17913,153,108,157.936,108.85
18440,150,112,155.949,110.509
17332,151,109,161.031,106.949
17769,151,116,158.205,107.695
18557,152,121,158.031,110.775
16726,154,114,162.211,108.41
16868,153,106,159.267,104.433
18019,153,109,161.489,109.609
18152,153,115,158.149,107.602
17720,155,109,162.463,108.346
16876,150,104,157.327,105.317
17339,153,103,161.264,108.823
17323,153,105,161.379,109.693
17558,152,111,156.929,107.742
16577,151,104,156.776,100.655
18222,154,120,158.866,110.654
17477,148,118,156.77,107.429
17092,153,115,159.829,108.064
17636,149,99,156.761,102.988
17869,151,118,154.4,105.08
19121,153,122,157.222,114.166
18345,154,119,162.394,111.056
16727,152,111,158.603,105.806
17987,152,113,159.652,109.634
18390,150,98,157.841,104.821
16933,148,102,158.707,104.631
18743,155,118,157.582,107.357
17723,152,108,158.551,111.376
17733,153,119,161.083,110.736
18412,151,114,156.674,108.033
17662,152,116,156.501,105.876
17346,152,110,159.838,108.957
17310,152,111,157.557,105.805
16836,151,105,155.065,104.527
17565,152,109,158.86,105.4
16867,151,110,156.881,103.485
17651,153,113,159.074,105.502
17300,153,110,158.306,104.959
17520,153,117,161.181,110.004
17664,150,108,157.021,105.934
17500,154,109,160.889,109.286
18894,154,121,159.267,113.303
17863,153,104,159.762,108.01
18369,156,114,158.431,107.064
16811,154,110,162.912,107.153
18170,151,119,158.905,112.126
18394,149,103,155.749,106.308
17125,152,108,160.167,104.07
17648,152,111,154.254,102.032
19127,151,108,158.566,108.608
17812,150,104,160.755,108.404
16850,152,112,160.672,108.906
18289,152,109,160.297,110.377
18800,149,114,155.937,109.8
17888,150,108,156.121,104.758
17747,154,109,157.245,101.487
16866,153,96,157.715,99.1251
18217,151,109,158.634,108.436
17949,149,110,154.694,101.652
18249,152,113,156.881,106.12
16110,152,101,161.953,104.318
18599,151,111,159.244,108.09
17833,151,114,157.714,108.477
18146,150,112,156.654,109.878
16286,154,106,162.049,105.79
18119,150,106,155.553,102.663
18091,151,109,158.072,109.327
18453,153,113,159.422,109.657
17324,152,112,157.485,107.051
18171,153,108,160.132,109.088
18328,151,109,158.06,108.589
16282,149,96,159.4,102.06
18338,149,108,156.875,108.208
17685,152,111,158.828,109.808
17748,154,117,161.266,109.682
17509,152,108,159.466,108.296
18105,153,116,157.8,109.674
17218,153,111,160.148,109.676
16638,150,103,157.395,103.535
16670,152,107,156.544,102.02
18395,154,113,162.067,113.339
17165,153,115,161.42,109.779
18514,152,116,158.112,110.541
16956,147,99,155.39,100.669
17416,148,108,156.541,102.577
18782,152,123,157.784,111.706
18431,153,114,158.261,108.31
17149,149,100,156.573,101.945
17961,154,123,159.892,110.902
18763,152,111,162.98,112.348
18683,154,122,160.175,114.668
18253,154,116,159.902,111.891
19058,149,111,156.049,112.135
17341,149,108,153.411,100.798
17832,153,117,160.21,109.989
16916,150,98,157.961,98.2993
16798,152,102,160.755,104.523
18256,153,114,158.751,109
18802,155,112,162.491,114.312
17197,155,109,162.369,108.245
18173,150,108,156.283,106.06
18545,154,121,159.22,112.138
18409,154,106,160.781,109.113
19027,153,115,157.867,110.501
17331,152,104,160.398,107.874
16423,150,100,157.892,104.574
17191,155,117,162.415,108.416
18279,150,110,156.964,108.504
17243,153,116,160.807,108.275
15757,154,96,162.011,102.556
17530,151,105,158.111,104.607
18169,154,116,160.636,109.075
17383,151,112,158.175,106.278
17885,153,107,158.441,105.615
17644,150,116,159.235,111.918
17401,149,97,157.348,104.037
17202,151,100,159.684,105.903
17745,150,109,155.609,105.721
18667,153,131,158.953,114.501
17681,153,116,160.582,109.214
16337,152,102,157.525,101.088
18581,151,117,158.545,110.821
