objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
11637,94,48,73.3193,36.1912
12248,91,51,73.2092,39.4234
13579,95,48,74.8428,40.5125
12940,93,52,70.6126,37.0981
10464,87,42,69.1542,32.5886
13374,93,51,72.2503,38.3524
12959,97,54,75.4615,40.9339
13336,93,47,76.7508,42.3504
12498,89,40,70.033,34.2963
12858,91,50,71.996,40.0661
13119,98,61,73.7928,39.7247
12532,95,46,74.0721,36.8388
11817,92,49,72.6236,37.8108
12357,91,44,74.007,35.8228
13819,91,51,75.024,41.4855
12715,91,52,70.2252,36.8458
13971,96,55,74.2332,43.1151
12473,93,45,72.955,36.8879
12996,92,49,73.8799,38.9459
13678,95,49,74.8048,41.5576
13007,95,48,74.4765,38.1061
14123,98,60,74.4094,39.6326
12391,94,48,74.999,38.7758
12424,94,53,74.3443,40.4605
13377,92,45,74.3744,40.2332
12866,96,58,74.6136,39.3163
13996,97,60,70.7067,37.8909
13017,92,52,71.8639,37.2863
12370,92,49,73.7217,39.8238
12560,95,56,74.6957,39.1552
12353,96,47,73.4775,36.2102
12293,92,39,73.6116,35.8498
12877,97,51,75.0601,39.5876
12559,93,49,73.049,39.3193
12744,96,55,74.2653,37.4775
12358,92,49,72.0551,38.4434
12771,96,49,73.6927,36.8138
12762,94,48,73.0561,38.5145
12905,96,51,74.3203,40.4154
12882,93,50,72.6697,38.2102
12565,91,42,74.6186,39.9369
12586,92,45,73.8979,38.2152
13263,97,53,72.5435,37.8549
12305,89,43,71.0891,35.5846
13716,98,67,74.2282,38.7588
13790,98,53,74.6476,40.016
13009,91,46,72.969,39.7558
12633,93,47,72.2062,37.2282
13089,94,49,73.0611,39.6326
12554,93,51,70.7407,36.3453
11908,93,40,75.4314,35.9399
12984,92,43,72.5165,35.3193
12303,90,47,73.5996,38.4795
13212,95,55,72.8478,38.6847
12174,92,44,73.4404,38.5425
10827,93,44,72.031,37.1271
11792,92,44,74.9479,39.5626
12463,96,53,73.2573,38.3564
13306,94,54,73.016,38.972
14083,94,56,73.2352,42.0581
13778,96,58,74.024,40.1261
13632,95,49,75.2142,40.8769
12185,94,53,72.1131,36.3764
11145,96,60,70.6517,36.9179
12265,95,49,74.3013,39.0921
13073,93,54,73,39.4354
13923,97,53,75.7808,39.8048
13815,94,57,72.7047,38.987
12340,90,40,72.1532,37.7928
13220,92,49,72.5025,37.8138
12542,90,39,73.3944,39.5295
12339,88,42,70.8058,36.2573
12085,91,45,72.5175,38.2553
12194,94,48,70.8068,35.1451
10058,87,42,72.9259,35.4084
13032,93,53,72.8168,37.9069
13388,93,48,75.2923,40.6346
12907,94,48,75.2452,39.0751
13975,96,54,73,40.8629
12173,93,49,68.5315,32.0971
11153,87,40,71.1952,35.5606
12901,95,50,74.5395,38.2112
12982,92,47,75.6106,40.9219
12300,94,56,72.9339,41.3674
12692,89,41,73.9499,40.3253
14451,97,53,76.6046,44.3534
13907,95,46,76.2673,42.4164
12952,94,51,74.5365,39.9319
12941,90,52,72.6196,40.0621
13663,100,59,75.4885,40.8108
12922,91,46,74.0901,39.3604
12721,95,61,73.7017,40.9479
