objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
3478,86,48,66.7047,33.9399
2904,85,44,67.3293,33.5836
3696,89,47,69.048,34.7097
3203,89,51,68.7217,33.5616
4058,91,47,71.2132,37.0621
1847,87,45,66.8889,31.3283
3842,86,40,68.1081,34.1281
3770,89,53,69.0911,35.0621
2548,87,48,66.7598,32.7918
2846,84,47,63.1672,30.7718
3470,92,48,66.7978,31.1912
3670,86,43,69.1411,35.3544
3616,92,59,68.5936,35.7397
3568,88,49,69.0981,35.5405
3114,88,43,67.7087,32.3904
3194,90,52,68.9059,33.5495
3533,87,51,67.5756,34.7518
2891,89,50,66.8138,31.1622
2708,92,52,68.1261,34.1381
3878,92,49,69.1612,32.5946
4407,89,52,69.2052,33.4134
3229,89,47,68.3463,32.7838
3418,91,49,67.4535,33.6396
3840,91,50,70.8498,36.3373
3863,87,53,69.2282,36.2062
2600,89,46,67.8158,33.1281
3161,90,51,69.1822,35.5375
2945,84,45,66.5616,32.018
3734,86,42,67.049,32.8559
3763,87,47,67.8549,33.4404
2351,86,48,67.018,32.3443
3589,90,48,69.4505,34.2933
3436,90,44,69.6697,33.4615
3722,89,52,68.1191,34.6076
2962,93,54,65.5906,33.3714
2793,86,49,67.5335,33.5746
2842,90,48,67.965,31.2252
3103,91,54,66.1221,33.3073
3036,89,50,68.8769,31.8899
3125,88,54,67.3534,34.5786
2631,91,51,66.7998,32.3283
3864,90,50,68.5876,35.3073
2972,89,46,68.3293,33.1522
3337,94,57,68.1041,33.2362
3017,88,46,68.2372,33.7898
2877,87,50,65.8719,32.3954
4517,90,51,69.0701,36.1101
3075,90,44,69.8358,32.7007
2479,89,50,63.98,30.1351
3869,92,49,68.6947,34.3684
3118,89,46,69.8889,34.4224
4100,94,58,69.6657,34.7858
3576,90,55,68.4905,36.7898
2851,88,47,68.6887,34.1231
3957,92,49,69.3754,34.3684
3209,89,42,68.4174,31.3954
3417,90,49,70.1021,34.6847
1868,80,40,65.8408,32.1161
2874,88,41,68.4885,32.2603
2753,83,42,66.9389,32.8859
2035,85,49,66.4965,33.7698
2650,83,51,66.3313,33.5586
4085,91,53,69.4044,35.3784
3471,93,51,69.7197,35.8639
3629,87,50,66.4885,34.1431
3629,87,47,68.4845,35.0601
3233,88,48,68.5155,33.4364
2443,88,47,68.7457,33.1972
3122,86,43,65.9329,33.1171
4097,96,50,70.1421,35.4434
3505,89,49,67.8478,33.987
3333,90,42,70.7357,35.001
3269,89,50,67.2973,33.1271
3827,93,55,67.5465,34.2272
3544,89,49,68.5305,33.4825
3643,90,51,68.1191,34.2633
3569,88,54,68.9369,34.9109
3289,89,49,67.4905,32.4675
2756,85,50,67.0821,33.9119
3725,87,42,68.4825,34.1782
4088,87,50,68.7217,36.016
2584,92,50,70.2863,35.2513
3653,93,55,70.03,34.8529
3464,91,48,69.5516,35.1411
3623,87,47,68.3914,35.0531
2585,86,47,66.6657,31.4965
4299,96,52,68.8108,33.7277
3792,87,48,69.986,36.7658
3694,89,44,70.8248,35.2563
3568,90,48,68.2753,34.3073
3576,89,52,69.2903,34.8679
2191,88,52,65.4755,32.7227
3325,90,53,68.4204,35.1141
3656,89,52,67.2042,33.032
2918,88,44,67.1011,31.6807
4068,89,50,68.9049,36.7187
2246,83,45,64.3133,31.6476
4605,93,53,70.5516,35.1161
2455,91,47,68.2993,32.02
2741,89,49,68.4665,33.7257
1559,87,38,67.3534,29.7477
4312,91,49,70.1101,36.8258
3120,85,47,68.9299,34.6296
2256,88,54,68.8959,34.963
2984,90,52,66.1151,32.6186
3665,93,54,69.5956,35.3634
2997,87,51,66.3453,33.6977
3149,94,55,68.4765,35.1882
2774,86,44,67.6507,33.5636
2046,83,39,67.027,33.1371
3443,88,43,68.3584,33.5616
4109,89,50,69.5766,36.9429
4183,89,50,68.4525,34.996
3173,90,53,69.8769,35.8048
3522,94,47,66.046,31.968
3737,89,45,69.1311,34.2112
2970,90,48,67.028,31.4174
3784,92,47,70.3854,37.1211
2872,88,50,67.6727,34.7257
4335,88,59,67.0741,35.8809
3258,92,49,71.7538,36.3133
3162,89,48,67.3674,32.4825
4549,92,53,69.5455,35.8398
3412,88,44,69.2883,34.5485
2699,87,39,68.7047,31.4625
3254,89,48,68.2392,33.4745
3889,90,54,67.8929,35.6126
4005,92,47,71.4264,37.3934
2272,89,55,68.4284,33.8098
3006,92,47,66.962,31.9399
2187,86,42,69.2913,33.8398
3729,93,53,68.7688,34.3403
2969,90,50,69.5526,33.2883
4072,93,54,67.7808,33.4715
3890,88,53,67.8248,34.6166
2578,89,49,67.0891,31.0771
3087,89,45,67.3043,31.8589
3637,85,45,65.979,33.6036
2171,80,42,66.4134,33.4995
4551,90,49,69.5826,36.6156
4299,88,47,68.6436,34.9039
3664,88,47,70.0561,35.5736
2495,89,45,67.3874,33.0911
3144,91,47,71.023,34.3854
4416,89,53,68.984,36.8338
4296,95,57,69.4394,35.3974
2784,86,52,66.5616,32.4815
3417,92,52,68.1892,34.0631
2560,85,47,67.4194,33.2462
3372,93,54,68.3233,35.04
3562,88,53,65.8028,32.9429
4666,88,53,68.0751,35.5696
3035,87,49,68.5526,35.5305
2222,87,39,69.7487,34.8488
4814,88,46,70.011,36.1191
4070,87,51,69.9119,36.2883
3793,92,55,69.5876,35.1221
3607,93,51,71.5215,35.2272
3052,89,51,68.8258,35.1161
2307,91,49,68.008,33.5826
4716,89,50,69.9119,36.5105
3564,86,50,68.6236,35.9309
4378,89,59,67.015,33.6687
3939,90,51,69.1952,34.0861
3817,90,48,67.3403,32.7628
4243,90,51,68.8679,33.7447
2300,88,45,68.3013,32.3714
1624,84,44,68.1522,33.7798
1342,86,43,63.5275,29.6607
2701,86,46,68.7347,33.3834
3660,88,48,66.3934,33.6597
4249,88,53,68.2302,36.8589
3467,89,51,67.7708,33.7127
4985,92,55,70.0921,36.5956
3994,89,52,67.5636,35.2643
4086,91,49,68.5275,35.1401
2665,92,52,67.0731,33.1211
2979,92,47,70.5305,34.6917
3025,90,44,69.3363,33.4705
4200,90,48,68.1431,35.01
3095,88,50,68.5225,34.2032
3873,86,47,66.8128,35.021
2691,89,47,69.8008,35.8428
3225,86,47,68.4174,34.6446
