objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
6206,155,97,166.752,77.0851
2219,156,101,174.283,83.0851
-5553,156,81,177.744,79.4595
3065,156,93,177.555,85.3564
2240,154,95,174.579,81.7748
3245,152,93,168.645,79.1882
8344,154,105,172.455,89.6837
3368,154,89,174.103,78.7437
-2851,156,88,175.581,77.6577
4017,154,91,175.046,81.0801
4009,155,94,167.759,78.4274
2091,156,88,175.968,79.6386
7914,156,97,173.98,83.032
2081,155,98,177.456,82.2212
7759,153,98,168.195,79.7618
-987,155,79,176.354,76.5776
2991,155,91,175.105,82.3403
3593,153,95,173.392,83.2082
5414,156,96,173.653,84.8368
5301,155,91,174.502,81.3774
5972,155,105,172.792,89.1862
2042,154,86,172.041,78.5465
-4363,155,92,176.081,77.9249
4059,151,90,172.914,81.3964
-2224,154,88,175.192,80.7908
2295,155,101,176.036,85.5025
7584,154,104,172.089,86.4034
-2883,153,90,173.477,77.963
3661,155,89,173.737,80.0631
6502,154,98,172.358,83.1101
6753,154,98,172.462,83.5896
1129,154,82,171.644,73.6507
4047,155,83,174.769,79.5265
2029,156,85,178.435,80.8198
5258,156,89,174.776,84.7838
2676,151,88,166.622,76.8438
4948,153,87,166.255,77.5796
7103,156,107,172.373,86.9459
2916,154,99,171.57,83.2112
10065,156,95,173.39,85.2973
5411,150,95,170.236,82.1321
-648,156,87,176.064,80.7117
3308,154,85,172.852,79.045
4590,156,99,172.902,86.9149
3418,155,88,175.641,82.958
4747,154,91,173.838,84.1211
4985,153,77,172.335,79.959
3080,156,99,176.652,81.8899
2911,155,104,171.024,80.7728
8063,156,99,172.739,84.04
8013,153,97,170.477,81.4695
-359,155,102,175.22,83.1552
2310,156,92,177.875,84.6637
-3486,154,82,173.212,76.3303
1227,156,98,174.227,86.022
6986,155,97,174.879,84.1772
4399,155,89,173.46,80.0691
-518,153,76,173.134,74.7938
880,154,92,176.526,81.5345
1991,154,78,175.073,82.7738
4248,154,92,174.849,83.5475
-1514,155,88,174.361,80.6507
8951,155,94,171.149,83.1151
5661,155,90,173.562,83.7778
4695,155,99,174.902,87.3604
6125,154,83,174.59,82.046
6510,150,89,168.767,82.0621
5318,156,104,172.88,84.6056
5021,154,97,174.657,81.8509
1293,153,88,171.127,75.6737
5967,153,94,172.265,78.034
-1339,154,83,174.447,77.2503
4327,156,99,176.629,86.7057
355,156,96,176.679,85.1662
501,156,83,177.378,79.1411
2313,156,91,174.341,79.3433
7124,151,87,171.943,84.2172
4113,154,92,172.343,80.0661
6753,154,80,170.927,78.8248
-2672,156,77,175.875,72.6987
-16,154,90,173.656,79.5335
6835,153,107,175.223,88.961
-244,154,93,174.442,81.8869
-4522,156,82,179.193,79.5125
8341,153,95,170.352,81.3403
6378,151,99,170.248,81.0671
-3062,151,90,171.52,75.7668
901,153,84,173.671,77.7668
3817,155,81,171.731,73.7678
3324,154,91,171.268,80.0571
5095,155,90,175.496,84.1752
2580,155,95,177.229,87.5405
6718,153,99,172.214,86.3604
4624,154,98,171.612,82.4555
8724,155,92,172.604,83.7137
3555,152,97,169.7,81.4024
4330,152,95,171.196,81.2583
11828,152,95,170.043,85.6917
-3715,156,80,175.017,76.7187
3924,154,91,175.64,82.961
2874,156,92,176.434,81.9069
4851,151,95,168.787,81.3524
8944,155,105,169.336,87.3704
4842,155,97,172.403,83.5576
